,,,,,,,,
,State,Maximum Late Fee,Mandatory Grace Period,Eviction Timeframe,Maintenance,Notice to Enter,Raising Rent,Month-to-Month Termination Notice
,Alabama,No limit,None,Landlord can file eviction within 7 business days,"Tenants cannot withhold rent or deduct and repair. If a landlord does not make necessary repairs, tenants must give written notice to the landlord and allow 14 days to repair the issues. If the repair is not completed, tenants can move out without responsibility for future rent.",Landlord must provide 2-day notice,Landlord does not need to provide any notice,Landlord must provide 30-day notice
,Alaska,No limit,None,Landlord can file eviction within 7 days,"Tenants must provide written notice to the landlord detailing the needed repairs and state their intent to terminate the lease in 20 days if the repairs are not completed within 10 days. If the landlord does not fix the issue, tenants can move out without being responsible for future rent.

If the landlord fails to supply essential services such as heat, water, or hot water, the tenant must notify the landlord in writing about the breach. The tenant can then obtain the necessary service themselves and deduct the actual and reasonable cost from the rent.",Landlord must provide 24-hour notice,Landlord must provide 30-day notice,Landlord must provide 30-day notice
,Arizona,No limit; $5 per day for mobile homes,None; 5 days for mobile homes,Landlord can file eviction within 5 days,"When an Arizona landlord fails to provide essential services such as running water, gas, electrical service, reasonable amounts of hot water or heat, or air conditioning (if already installed and offered), the tenant has the following options:

- Obtain the service themselves and deduct the reasonable cost from the rent.
- Sue for damages based on the reduced value of the rental unit due to the repair problems.
- Move out until the problem is fixed. During this time, the tenant is not required to pay rent and can sue the landlord for any temporary housing costs that exceed the original rent by up to 25%.

If an Arizona landlord fails to provide a habitable residence and the cost of the necessary repair is less than $300 or half of the monthly rent, the tenant can:
- Sue the landlord
- Notify the landlord of their intent to correct the issue at the landlord's expense
If the landlord does not fix the issue within 10 days of receiving written notice, the tenant can have the work done by a licensed contractor. The tenant can then submit an itemized statement and waiver of lien, and deduct the repair cost from the rent payment.",Landlord must provide 2-day notice,Landlord does not need to provide any notice,Landlord must provide 30-day notice
,Arkansas,No limit,None,Landlord can file eviction within 3 days for civil eviction; 10 days for criminal eviction,"If a landlord fails to provide habitable premises, the tenant must send the landlord a written notice detailing the issues. If the landlord does not resolve the problems within 30 calendar days of receiving the notice, the tenant can terminate the lease or rental agreement without penalty and receive a refund of the security deposit.",Landlord does not need to provide any notice,Landlord does not need to provide any notice,Landlord must provide 30-day notice
,California,"No limit but must be ""reasonable""",None,"Landlord can file eviction within 3 days, excluding weekends and days courts are closed","California tenants can withhold rent if the landlord fails to maintain habitable (livable) premises, provided the habitability issue poses a genuine threat to health or safety and was not caused by the tenant or their guests.

Tenants can also use the ""repair and deduct"" remedy under certain conditions. The defect must be significant, and the tenant must have made unsuccessful attempts to have the landlord fix it. The tenant can then repair the problem themselves or hire a handyperson and deduct the cost from the rent. However, the repair cost cannot exceed one month's rent, and the tenant cannot have used the ""repair and deduct"" remedy more than twice in the past 12 months.",Landlord must provide 24-hour notice,Landlord does not need to provide any notice,Landlord must provide 30-day notice
,Colorado,Greater of $50 or 5% of monthly rent,7 Days,Landlord can file eviction within 10 days; 5 days for single-family homes under an exempt residential agreement,"If a landlord violates the warranty of habitability, the tenant must send a written notice detailing the issue and giving the landlord five days to address it. If the landlord does not fix the problem, the tenant can end the lease and move out between 10 and 30 days after the notice.

The tenant may also seek a court order to compel the landlord to correct the habitability violation.

Furthermore, a tenant can deduct repair costs from their rent payments if the landlord fails to address a habitability issue after receiving proper notice. The landlord must either start or complete the repairs within the time limits set by law. The tenant must inform the landlord of their intent to withhold rent before doing so.",Landlord does not need to provide any notice,Landlord must provide 10-day notice,Landlord must provide 21-day notice
,Connecticut,"No limit but must be ""reasonable""",9 Days (monthly rent); 4 Days (weekly rent),Landlord can file eviction within 9 days,"When a landlord fails to provide essential services such as heat, running water, hot water, electricity, or gas, the tenant must notify the landlord of the issue. The tenant can then:

- Obtain a reasonable amount of the missing service (heat, hot water, running water, electricity, gas, etc.) and deduct the actual and reasonable cost from the rent.
- Find alternative housing if the landlord does not fix the problem within 48 hours. If the issue recurs within six months, the tenant can immediately seek substitute housing.
- If the failure to provide the service is intentional, the tenant can terminate the lease and sue for up to two months' rent or double their actual damages, whichever is greater. 

If the tenant opts for substitute housing, they are not required to pay rent during the period the essential service is not provided. Additionally, the tenant can recover the actual costs of the substitute housing up to an amount equal to their rent.",Landlord must provide reasonable notice.,Landlord does not need to provide any notice,Landlord must provide 3-day notice
,Delaware,5% of monthly rent,5 Days; 8 Days if no office in county,Landlord can file eviction within 5 days,"Tenants have the right to use the repair-and-deduct remedy or withhold rent under specific conditions.

Repair-and-Deduct: If a landlord fails to repair, maintain, or keep the rental property in a sanitary condition, or fails to provide agreed-upon maintenance, the tenant must notify the landlord in writing. If the landlord does not fix the problem within 30 days or does not start addressing the issue within 10 days of receiving the notice, the tenant can have the work done. The tenant can then deduct a reasonable amount from the rent, not exceeding the lesser of $400 or half a month's rent, and must provide the landlord with copies of the receipts for the work. This remedy is available only to tenants who are current on their rent.

Rent Withholding: If a landlord fails to provide essential services such as hot water, heat, water, or electricity, or does not fix a major problem, the tenant must notify the landlord of the issue. If the violation continues for 48 hours or more, the tenant can:
- Notify the landlord in writing that the issue persists and immediately terminate the tenancy, or
- Provide written notice to the landlord and withhold two-thirds of the rent for each day that the essential services or substitute housing are not provided.
- If the tenant chooses to remain in the rental and the landlord still does not resolve the issue, the tenant may find substitute housing and stop paying rent. Additionally, the landlord may be required to cover the tenant's extra expenses up to half the regular rent.",Landlord must provide 48-hour notice,Landlord must provide 60-day notice,Landlord must provide 60-day notice
,District of Columbia,5% of monthly rent,5 Days,Landlord can file eviction once 30 day notice requirement is met,"The lease can be voided if the home is unsafe or unsanitary. Tenants should provide written notice describing the problem and allowed the landlord ""reasonable"" time to fix it.",Landlord must provide 48-hour notice,Landlord must provide 30-day notice,Landlord must provide 30-day notice
,Florida,Greater of $20 or 20% of monthly rent,None,"Landlord can file eviction within 3 days, excluding weekends and days courts are closed","Tenants can withhold rent if the landlord fails to address a habitability problem within 7 days after receiving written notice from the tenant. The tenant can use this as a defense in an eviction action for nonpayment of rent. IN these cases, the tenant must deposit the amount of unpaid rent into the court's registry.",Landlord must provide 12-hour notice,Landlord does not need to provide any notice,Landlord must provide 15-day notice
